,CTpnz,CTne,LE,IT,BG,CT,CTmvp,CTpan
24,"W28-1-1-D.01_(13200,5400).jpg","W3-1-1-C.1.06_(4650,8400).jpg","W31-1-1-G.02_(1350,7500).jpg","W2-1-1-E.2.02_(10350,5400).jpg","W3-1-1-F.2.01_(16800,8550).jpg","W35-1-1-F.02_(2100,5700).jpg","W8-1-1-C.1.03_(11100,7200).jpg","W10-1-1-D.2.04_(4050,2100).jpg"
25,"W45-1-1-B.01_(4350,1950).jpg","W40-1-1-J.02_(14250,13800).jpg","W38-1-1-A.02_(3600,11100).jpg","W10-1-1-J.2.03_(10950,11550).jpg","W21-1-1-O.02_(15900,150).jpg","W22-1-1-J.01_(15450,3750).jpg","W20-2-1-L.04_(5100,5250).jpg","W19-1-1-B.03_(3750,7800).jpg"
26,"W13-1-1-B.06_(1950,10500).jpg","W7-1-1-B.2.02_(13950,7500).jpg","W34-1-1-B.01_(2100,7950).jpg","W43-1-1-C.01_(6750,12750).jpg","W8-1-1-G.2.01_(1500,14250).jpg","W40-1-1-A.02_(2850,3450).jpg","W10-1-1-F.1.04_(2550,7500).jpg","W32-1-1-J.02_(15600,2700).jpg"
27,"W32-1-1-L.02_(10500,10650).jpg","W3-1-1-C.1.04_(17400,12150).jpg","W38-1-1-K.02_(5550,11250).jpg","W13-1-1-A.04_(6000,3300).jpg","W11-1-1-M.1.02_(11700,600).jpg","W12-1-1-A.2.01_(14700,2700).jpg","W8-1-1-C.1.06_(7950,4200).jpg","W32-1-1-M.01_(17250,13500).jpg"
28,"W29-1-1-F.03_(300,13350).jpg","W10-1-1-D.2.01_(2850,2550).jpg","W31-1-1-G.03_(2400,6300).jpg","W16-1-1-E.01_(6300,2250).jpg","W8-1-1-E.2.01_(4650,0).jpg","W22-1-1-J.01_(450,12000).jpg","W38-1-1-G.01_(9600,8400).jpg","W2-1-1-N.1.03_(11400,4350).jpg"
29,"W28-1-1-D.02_(6300,7350).jpg","W33-1-1-E.02_(7950,1800).jpg","W31-1-1-G.02_(300,1500).jpg","W18-1-1-B.02_(6600,4800).jpg","W10-1-1-D.2.05_(17700,13950).jpg","W12-1-1-H.2.02_(7350,11250).jpg","W21-1-1-E.02_(12450,6000).jpg","W19-1-1-B.01_(3750,11400).jpg"
30,"W40-1-1-A.02_(13500,2400).jpg","W40-1-1-B.03_(3450,4050).jpg","W10-1-1-C.2.02_(3900,6600).jpg","W28-1-1-B.02_(3750,8850).jpg","W18-1-1-C.01_(13500,300).jpg","W43-1-1-D.02_(13050,1950).jpg","W8-1-1-C.1.03_(11100,10050).jpg","W19-1-1-B.01_(2550,14550).jpg"
31,"W36-1-1-G.01_(3450,6900).jpg","W10-1-1-F.1.02_(8100,5100).jpg","W4-1-1-F.1.03_(6000,5850).jpg","W8-1-1-C.1.04_(15150,1950).jpg","W11-1-1-G.1.05_(10950,15750).jpg","W38-1-1-I.02_(3600,12300).jpg","W10-1-1-F.1.04_(13500,13500).jpg","W26-1-1-F.02_(300,5850).jpg"
32,"W29-1-1-F.04_(2100,6300).jpg","W29-1-1-G.01_(12450,4350).jpg","W22-2-1-B.01_(1650,8700).jpg","W31-1-1-H.04_(9300,5250).jpg","W13-1-1-A.01_(12000,13500).jpg","W30-1-1-J.02_(9150,8400).jpg","W10-1-1-F.1.03_(4950,9000).jpg","W2-1-1-K.2.04_(11700,5250).jpg"
33,"W12-1-1-D.2.05_(15600,7800).jpg","W42-1-1-G.02_(16050,600).jpg","W13-1-1-B.01_(6750,2850).jpg","W12-1-1-I.1.01_(7800,14550).jpg","W42-1-1-F.02_(600,450).jpg","W30-1-1-J.01_(1500,2400).jpg","W42-1-1-G.01_(15450,3450).jpg","W19-1-1-A.03_(7200,5850).jpg"
34,"W42-1-1-J.03_(1950,1500).jpg","W36-1-1-F.04_(3750,2850).jpg","W10-1-1-C.2.01_(5850,6300).jpg","W11-1-1-G.1.06_(16500,600).jpg","W22-1-1-E.01_(15600,13950).jpg","W8-1-1-C.2.02_(3300,1500).jpg","W8-1-1-C.1.05_(12750,7350).jpg","W11-1-1-G.2.03_(10650,300).jpg"
35,"W11-1-1-E.1.02_(9000,2250).jpg","W13-1-1-H.02_(9750,2550).jpg","W8-1-1-G.2.02_(900,11700).jpg","W33-1-1-F.03_(4500,3450).jpg","W13-1-1-F.01_(16500,750).jpg","W7-1-1-A.1.01_(6300,4650).jpg","W31-1-1-H.01_(17700,12600).jpg","W32-1-1-J.02_(16050,7350).jpg"
36,"W22-1-1-A.01_(15600,12750).jpg","W27-2-1-B.03_(10350,5400).jpg","W31-1-1-G.04_(9300,5100).jpg","W18-1-1-B.02_(3300,1350).jpg","W40-1-1-B.02_(750,4500).jpg","W22-1-1-J.02_(2100,6000).jpg","W29-1-1-A.02_(7500,11850).jpg","W19-1-1-A.05_(16950,6900).jpg"
37,"W8-1-1-A.1.02_(12450,7050).jpg","W34-1-1-B.01_(14100,450).jpg","W10-1-1-J.2.03_(7500,5400).jpg","W28-1-1-B.01_(2250,12150).jpg","W2-1-1-A.2.02_(450,3600).jpg","W31-1-1-A.01_(15150,5850).jpg","W8-1-1-B.1.06_(5700,14850).jpg","W9-1-1-I.2.03_(12150,2700).jpg"
38,"W11-1-1-L.2.01_(6000,6900).jpg","W2-1-1-I.2.06_(9600,6450).jpg","W33-1-1-M.01_(4950,1050).jpg","W42-1-1-N.02_(6300,11400).jpg","W10-1-1-F.1.01_(5550,14550).jpg","W22-1-1-E.02_(450,4800).jpg","W38-1-1-P.01_(14700,4350).jpg","W19-1-1-A.05_(16200,2850).jpg"
39,"W11-1-1-G.1.03_(13200,11100).jpg","W34-1-1-B.01_(13650,5700).jpg","W38-1-1-K.01_(8100,8400).jpg","W22-2-1-B.02_(10200,13200).jpg","W21-1-1-O.01_(15000,150).jpg","W45-1-1-F.01_(1650,3000).jpg","W8-1-1-C.1.04_(6000,15000).jpg","W10-1-1-J.2.03_(17700,4500).jpg"
40,"W22-1-1-A.02_(3000,7350).jpg","W11-1-1-G.2.01_(150,8400).jpg","W38-1-1-A.02_(4050,8100).jpg","W4-1-1-C.2.03_(10500,5100).jpg","W13-1-1-A.04_(11250,14400).jpg","W12-1-1-E.1.03_(4350,12150).jpg","W10-1-1-D.2.01_(2550,750).jpg","W27-2-1-F.02_(16950,6900).jpg"
41,"W43-1-1-E.02_(4200,3750).jpg","W21-1-1-L.01_(7800,5250).jpg","W13-1-1-B.04_(11550,10200).jpg","W42-1-1-D.02_(2100,14400).jpg","W22-2-1-D.01_(9000,12600).jpg","W42-1-1-N.02_(16200,2250).jpg","W8-1-1-C.1.06_(12150,8100).jpg","W12-1-1-D.1.01_(11400,10200).jpg"
42,"W16-1-1-B.02_(8400,5400).jpg","W29-1-1-G.01_(15300,9000).jpg","W31-1-1-G.02_(5700,2400).jpg","W27-2-1-D.01_(300,6000).jpg","W40-1-1-J.02_(17550,1350).jpg","W43-1-1-E.02_(10950,1650).jpg","W40-1-1-B.03_(4350,13200).jpg","W3-1-1-A.2.02_(16950,10650).jpg"
43,"W21-1-1-O.01_(3450,9450).jpg","W16-1-1-G.05_(5400,7650).jpg","W36-1-1-D.01_(5400,750).jpg","W10-1-1-C.1.01_(3900,9300).jpg","W8-1-1-B.1.01_(17850,1050).jpg","W40-1-1-D.02_(3750,13200).jpg","W10-1-1-F.1.03_(4500,5100).jpg","W2-1-1-I.2.01_(6150,12900).jpg"
44,"W28-1-1-N.03_(2550,9000).jpg","W13-1-1-K.01_(17250,1350).jpg","W38-1-1-F.01_(2700,150).jpg","W7-1-1-A.2.03_(2700,12150).jpg","W21-1-1-A.01_(9600,300).jpg","W27-2-1-B.01_(1800,10050).jpg","W10-1-1-F.1.02_(11100,2100).jpg","W19-1-1-B.03_(5550,3600).jpg"
45,"W7-1-1-A.2.02_(14100,7050).jpg","W9-1-1-E.2.02_(4350,11100).jpg","W4-1-1-B.2.01_(11850,3600).jpg","W2-1-1-K.2.02_(9600,4800).jpg","W13-1-1-E.01_(2700,1350).jpg","W27-2-1-I.03_(11250,3450).jpg","W3-1-1-C.1.05_(17250,4500).jpg","W32-1-1-E.03_(10800,12000).jpg"
46,"W12-1-1-E.2.04_(8400,10800).jpg","W33-1-1-A.03_(15300,8250).jpg","W11-1-1-F.1.01_(3900,3150).jpg","W45-1-1-K.02_(3150,3750).jpg","W43-1-1-A.01_(9000,10500).jpg","W30-1-1-D.01_(15000,5100).jpg","W8-1-1-C.1.03_(13950,3750).jpg","W19-1-1-A.02_(11850,5850).jpg"
47,"W40-1-1-A.01_(3150,7800).jpg","W34-1-1-G.03_(5700,2550).jpg","W2-1-1-G.2.02_(5250,6450).jpg","W20-2-1-M.01_(7800,1650).jpg","W19-1-1-C.01_(1800,1350).jpg","W9-1-1-G.2_(5550,6000).jpg","W9-1-1-C.2.03_(5550,10950).jpg","W2-1-1-I.2.01_(3750,9300).jpg"
48,"W27-2-1-E.01_(10650,7200).jpg","W3-1-1-B.2.03_(12450,14400).jpg","W22-2-1-B.01_(7200,4650).jpg","W42-1-1-G.02_(17100,2850).jpg","W42-1-1-J.01_(750,1350).jpg","W30-1-1-J.02_(5550,5400).jpg","W10-1-1-F.1.02_(4950,13650).jpg","W28-1-1-J.02_(12900,8850).jpg"
49,"W22-1-1-A.02_(15000,5250).jpg","W40-1-1-C.02_(6150,4950).jpg","W4-1-1-A.2.02_(1650,3900).jpg","W26-1-1-A.02_(13950,6450).jpg","W26-1-1-D.01_(15300,1500).jpg","W18-1-1-A.02_(3900,10650).jpg","W8-1-1-C.1.03_(16050,9300).jpg","W38-1-1-F.02_(17700,6900).jpg"
50,"W13-1-1-H.01_(1950,13650).jpg","W11-1-1-G.2.01_(6900,3450).jpg","W2-1-1-G.2.01_(14250,1800).jpg","W4-1-1-C.2.02_(3900,7500).jpg","W30-1-1-D.01_(6150,150).jpg","W8-1-1-B.1.06_(8400,8550).jpg","W9-1-1-G.2_(9750,3300).jpg","W21-1-1-M.02_(5550,13800).jpg"
51,"W21-1-1-B.06_(6750,12450).jpg","W10-1-1-G.2.01_(3900,9450).jpg","W38-1-1-K.02_(16200,10050).jpg","W7-1-1-B.2.04_(3300,3000).jpg","W3-1-1-C.1.05_(1050,13650).jpg","W33-1-1-F.01_(5400,2850).jpg","W7-1-1-B.2.01_(7350,10800).jpg","W27-2-1-I.03_(1200,11700).jpg"
52,"W11-1-1-H.1.01_(14700,4650).jpg","W3-1-1-A.2.02_(12900,6150).jpg","W13-1-1-E.01_(10500,7950).jpg","W26-1-1-F.03_(15900,11700).jpg","W36-1-1-B.03_(600,150).jpg","W8-1-1-C.2.03_(3900,12150).jpg","W8-1-1-C.1.02_(11100,11850).jpg","W8-1-1-B.1.05_(14550,1350).jpg"
53,"W10-1-1-E.2.02_(14850,5250).jpg","W34-1-1-B.02_(8550,11700).jpg","W36-1-1-D.01_(12750,10650).jpg","W20-2-1-L.01_(11100,10350).jpg","W12-1-1-B.1.05_(15150,5400).jpg","W12-1-1-B.1.05_(15450,11250).jpg","W9-1-1-D.1.01_(2700,9450).jpg","W40-1-1-I.01_(17250,9600).jpg"
54,"W13-1-1-V.01_(8250,750).jpg","W36-1-1-F.03_(1500,13050).jpg","W36-1-1-D.02_(10950,7950).jpg","W28-1-1-B.01_(8250,7050).jpg","W20-2-1-K.02_(14400,14850).jpg","W34-1-1-F.02_(10050,7650).jpg","W10-1-1-F.1.03_(3750,1650).jpg","W12-1-1-D.1.01_(9900,10800).jpg"
55,"W8-1-1-C.2.05_(14400,12600).jpg","W32-1-1-M.01_(6300,3750).jpg","W34-1-1-C.02_(14250,9900).jpg","W26-1-1-A.02_(8550,10050).jpg","W29-1-1-C.02_(17700,7200).jpg","W20-2-1-V.02_(4350,5100).jpg","W8-1-1-C.1.02_(13500,11850).jpg","W27-2-1-I.02_(1500,6000).jpg"
56,"W42-1-1-J.01_(17550,9150).jpg","W7-1-1-B.1.01_(6000,7200).jpg","W38-1-1-K.03_(9750,8550).jpg","W20-2-1-L.01_(2250,2850).jpg","W20-2-1-Z.02_(3900,0).jpg","W29-1-1-D.01_(16950,8850).jpg","W27-2-1-D.04_(10650,2550).jpg","W19-1-1-B.03_(11850,5100).jpg"
57,"W19-1-1-D.04_(750,7800).jpg","W2-1-1-D.1.01_(3750,3300).jpg","W31-1-1-G.03_(9300,2850).jpg","W10-1-1-C.2.01_(14400,10050).jpg","W31-1-1-A.01_(4950,1350).jpg","W29-1-1-F.03_(6450,1200).jpg","W9-1-1-D.1.01_(7500,9600).jpg","W33-1-1-B.02_(17550,11250).jpg"
58,"W21-1-1-B.01_(3150,5850).jpg","W36-1-1-A.01_(13050,3750).jpg","W22-2-1-A.02_(300,6750).jpg","W10-1-1-E.2.01_(5250,13650).jpg","W4-1-1-B.1.01_(750,12150).jpg","W40-1-1-D.01_(9000,10050).jpg","W12-1-1-D.1.01_(1200,11700).jpg","W32-1-1-J.01_(17100,8850).jpg"
59,"W7-1-1-C.2.01_(3450,6300).jpg","W13-1-1-H.01_(9600,5850).jpg","W34-1-1-C.02_(12450,3450).jpg","W45-1-1-B.02_(17700,3900).jpg","W11-1-1-C.1.02_(9450,14550).jpg","W12-1-1-B.1.05_(14850,11850).jpg","W10-1-1-F.1.04_(13200,4800).jpg","W27-2-1-G.01_(450,5550).jpg"
60,"W13-1-1-F.02_(17400,12600).jpg","W29-1-1-C.01_(3900,13350).jpg","W13-1-1-B.01_(13200,14250).jpg","W45-1-1-K.02_(7200,14700).jpg","W20-2-1-H.02_(16800,150).jpg","W27-2-1-C.01_(13200,2100).jpg","W38-1-1-K.01_(4950,11850).jpg","W8-1-1-D.1.02_(6300,10050).jpg"
61,"W8-1-1-B.1.02_(16650,2100).jpg","W8-1-1-B.1.02_(17250,5850).jpg","W13-1-1-A.02_(4200,4050).jpg","W8-1-1-C.1.02_(10950,1350).jpg","W42-1-1-G.02_(1200,1500).jpg","W12-1-1-A.2.01_(16650,7650).jpg","W38-1-1-K.02_(3900,6900).jpg","W9-1-1-J.2.01_(11100,10800).jpg"
62,"W38-1-1-I.02_(750,11100).jpg","W4-1-1-A.1.02_(7500,12450).jpg","W10-1-1-D.2.02_(11700,10200).jpg","W2-1-1-O.2.01_(2850,14700).jpg","W12-1-1-D.1.02_(17400,13050).jpg","W11-1-1-G.2.02_(15300,6450).jpg","W38-1-1-K.01_(5100,2550).jpg","W10-1-1-D.2.08_(1950,5700).jpg"
63,"W30-1-1-A.02_(16050,7350).jpg","W22-1-1-H.01_(600,3150).jpg","W10-1-1-C.2.01_(10800,10200).jpg","W33-1-1-J.01_(3300,3150).jpg","W38-1-1-K.03_(17400,8100).jpg","W12-1-1-I.1.03_(4950,2400).jpg","W10-1-1-F.1.04_(9450,1500).jpg","W40-1-1-E.01_(16800,2850).jpg"
64,"W40-1-1-I.01_(3750,13650).jpg","W11-1-1-H.1.01_(7650,9150).jpg","W34-1-1-D.04_(14400,9000).jpg","W2-1-1-K.2.02_(9750,12900).jpg","W27-2-1-F.01_(16800,300).jpg","W22-1-1-I.03_(4200,5250).jpg","W8-1-1-B.1.03_(12450,1050).jpg","W26-1-1-H.01_(17550,13950).jpg"
65,"W31-1-1-F.03_(4500,11700).jpg","W3-1-1-C.1.05_(6000,14250).jpg","W33-1-1-M.02_(5250,3300).jpg","W27-2-1-A.01_(3900,4200).jpg","W8-1-1-C.2.03_(17700,13800).jpg","W2-1-1-J.2.02_(7800,10500).jpg","W7-1-1-B.2.02_(9450,750).jpg","W19-1-1-B.01_(14850,12300).jpg"
66,"W7-1-1-A.2.01_(8250,9600).jpg","W12-1-1-E.1.04_(3900,2250).jpg","W10-1-1-C.2.02_(2100,6000).jpg","W20-2-1-M.02_(11400,9900).jpg","W30-1-1-D.01_(150,10500).jpg","W22-1-1-A.01_(10200,11850).jpg","W38-1-1-H.01_(450,9600).jpg","W8-1-1-C.1.05_(17250,12750).jpg"
67,"W29-1-1-A.03_(14250,7650).jpg","W12-1-1-A.2.01_(300,10950).jpg","W10-1-1-D.2.05_(12450,11850).jpg","W45-1-1-K.02_(12450,3300).jpg","W8-1-1-G.2.01_(3150,0).jpg","W35-1-1-H.01_(17550,4950).jpg","W40-1-1-B.03_(2850,13950).jpg","W32-1-1-J.02_(5550,2100).jpg"
68,"W29-1-1-G.03_(16200,7350).jpg","W40-1-1-F.02_(7800,10050).jpg","W10-1-1-J.2.02_(3150,600).jpg","W20-2-1-I.03_(17400,7650).jpg","W26-1-1-D.01_(13650,10800).jpg","W35-1-1-F.02_(16800,6150).jpg","W12-1-1-D.1.01_(4800,14850).jpg","W32-1-1-J.02_(4650,8250).jpg"
69,"W10-1-1-E.2.02_(14550,8100).jpg","W40-1-1-F.01_(7050,10800).jpg","W31-1-1-G.03_(13800,13800).jpg","W28-1-1-C.02_(2550,7650).jpg","W10-1-1-E.2.02_(6900,4500).jpg","W35-1-1-I.01_(1500,13050).jpg","W32-1-1-M.01_(5700,9000).jpg","W2-1-1-I.2.01_(4350,6600).jpg"
70,"W2-1-1-J.2.06_(16050,1800).jpg","W16-1-1-F.02_(4500,12900).jpg","W13-1-1-E.01_(16200,10500).jpg","W2-1-1-O.2.02_(7200,750).jpg","W32-1-1-L.02_(17850,0).jpg","W12-1-1-B.1.02_(9900,14550).jpg","W20-2-1-Z.01_(9000,14100).jpg","W33-1-1-F.02_(8850,13350).jpg"
71,"W2-1-1-J.2.03_(12750,450).jpg","W40-1-1-J.03_(16650,12000).jpg","W2-1-1-G.2.01_(5250,9600).jpg","W20-2-1-K.01_(4950,2550).jpg","W40-1-1-I.01_(14100,150).jpg","W18-1-1-A.01_(5700,5250).jpg","W7-1-1-B.2.01_(8100,10650).jpg","W3-1-1-A.2.04_(1050,7200).jpg"
72,"W16-1-1-C.02_(13050,8550).jpg","W2-1-1-N.1.01_(12300,8700).jpg","W8-1-1-F.1.02_(4200,4650).jpg","W20-2-1-L.01_(11250,12300).jpg","W22-1-1-E.01_(1650,14550).jpg","W21-1-1-E.02_(12150,10950).jpg","W10-1-1-D.2.06_(9000,5250).jpg","W32-1-1-L.01_(5250,1500).jpg"
73,"W32-1-1-L.02_(8400,3450).jpg","W13-1-1-B.06_(8250,10800).jpg","W2-1-1-A.2.02_(10350,8400).jpg","W27-2-1-G.01_(10950,750).jpg","W45-1-1-G.01_(6450,14400).jpg","W29-1-1-D.01_(17400,1650).jpg","W8-1-1-C.1.03_(10800,8250).jpg","W32-1-1-I.02_(5250,3900).jpg"
74,"W21-1-1-O.02_(3750,9150).jpg","W21-1-1-L.01_(13650,1350).jpg","W10-1-1-J.2.01_(1350,8550).jpg","W4-1-1-D.1.04_(4050,12000).jpg","W43-1-1-E.02_(10800,0).jpg","W28-1-1-C.02_(12000,1500).jpg","W38-1-1-I.01_(8850,3600).jpg","W10-1-1-J.2.02_(17550,4200).jpg"
